"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"1507 1008 CAMBIE STREET","VVWYA","$639,900","5","2","2","900","1997","18","Yes","1","$441.00","$711.00","$639,900","$639,900","11/9/2015","Yes","YALETOWN"
"805 1133 HOMER STREET","VVWYA","$640,000","6","2","2","821","2008","7","No","1","$310.16","$779.54","$599,000","$640,000","9/14/2015",,
"1209 1028 BARCLAY STREET","VVWWE","$640,000","13","1","1","793","2011","4","No","1","$306.09","$807.06","$649,000","$640,000","9/28/2015","Yes","CITY"
"2503 602 CITADEL PARADE","VVWDT","$640,000","5","2","2","885","2007","10","No",,"$412.87","$723.16","$649,000","$640,000","12/7/2015","Yes","City, Inlet"
"1207 535 SMITHE STREET","VVWDT","$640,000","5","2","2","757","2010","5","Yes","1","$319.59","$845.44","$599,000","$640,000","10/18/2015","Yes","Expansive SW City Views"
"1607 1199 MARINASIDE CRESCENT","VVWYA","$640,000","7","1","1","727","1999","16",,"1","$354.44","$880.33","$579,000","$640,000","11/9/2015","Yes","WATERFRONT FALSE CREEK"
"3108 602 CITADEL PARADE","VVWDT","$640,000","50","2","2","885","2007","10",,,"$412.00","$723.16","$665,000","$640,000","11/24/2015","Yes"," CITY, MOUNTAINS, BURRARD INLE"
"3207 1189 MELVILLE STREET","VVWCB","$640,000","5","1","1","720","2007","8","Yes","1","$360.00","$888.89","$630,000","$640,000","10/17/2015","Yes","Lions Gates & Burrard Inlet"
"2807 1111 ALBERNI STREET","VVWWE","$640,000","0","1","1","606","2008","7","Yes","1","$485.82","$1,056.11","$658,000","$640,000","11/4/2015","Yes","CITYSCAPE"
"809 1325 ROLSTON STREET","VVWDT","$642,000","4","2","2","833","2013","3","No","1","$310.60","$770.71","$648,000","$642,000","12/21/2015","Yes","YES-FALSE CREEK & ENGLISH BAY"
"505 999 SEYMOUR STREET","VVWDT","$643,000","43","2","2","821","2014","1","Yes","1","$342.47","$783.19","$656,000","$643,000","10/28/2015","Yes","CITY VIEWS"
"2404 939 HOMER STREET","VVWYA","$643,000","7","2","2","888","1998","17","Yes","1","$411.81","$724.10","$598,000","$643,000","11/9/2015","Yes","MOUNTAINS AND CITY"
"417 1088 RICHARDS STREET","VVWYA","$645,000","6","2","2","846","2011","4","No","1","$319.90","$762.41","$599,000","$645,000","11/29/2015","Yes","TREED LANE"
